id,title,owner,lat,lon,url,tags,description,combined_text,is_food,is_chinese,subcategory
55152188195,`3433,81065266@N00,51.509797,-0.127844,https://live.staticflickr.com/65535/55152188195_b5c4e81a58.jpg,london streetphotography sad mad fun funny people smile fashion spring uk classic art canon tourism ourists urban unaware unknown bored lunch england pretty shops shopping wisdom natural portrait candid community culture surreal colour moody quiet busy tramp dirty books silence hoodie sleeping rest westminster tourists w1 leicestersquare chair,In A Library!...,`3433 london streetphotography sad mad fun funny people smile fashion spring uk classic art canon tourism ourists urban unaware unknown bored lunch england pretty shops shopping wisdom natural portrait candid community culture surreal colour moody quiet busy tramp dirty books silence hoodie sleeping rest westminster tourists w1 leicestersquare chair in a library!...,True,False,其他
55149881443,Colourful London,12220922@N05,51.510658,-0.128327,https://live.staticflickr.com/65535/55149881443_c5e2104eeb.jpg,london england uk europe europa capitalcity candid colourfulclothes cowboyboots kinkyboots crossdressing middleage beret takingiteasy takingabreak resting charingcrossroad ©peterdenton samsunggalaxys24,London! A city for everyone and everyone’s city.,colourful london london england uk europe europa capitalcity candid colourfulclothes cowboyboots kinkyboots crossdressing middleage beret takingiteasy takingabreak resting charingcrossroad ©peterdenton samsunggalaxys24 london! a city for everyone and everyone’s city.,True,False,其他
55148233810,Henry Ewan Golding Ω Candid Portraits Ltd,107026173@N05,51.512615,-0.13028,https://live.staticflickr.com/65535/55148233810_f5d80c2af2.jpg,henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian,"Photo Image © Patrick Lovell

Kettner’s Hotel &amp; Restaurant
Tel: +44 (0) 20 7734 5650
29 Romilly Street
London Soho
W1D 5AL","henry ewan golding ω candid portraits ltd henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian photo image © patrick lovell

kettner’s hotel &amp; restaurant
tel: +44 (0) 20 7734 5650
29 romilly street
london soho
w1d 5al",True,False,其他
55148015718,Henry Ewan Golding Ω Autograph Signings Ltd,107026173@N05,51.512615,-0.13028,https://live.staticflickr.com/65535/55148015718_d9a9be98fc.jpg,henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian,"Photo Image © Patrick Lovell

Kettner’s Hotel &amp; Restaurant
Tel: +44 (0) 20 7734 5650
29 Romilly Street
London Soho
W1D 5AL","henry ewan golding ω autograph signings ltd henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian photo image © patrick lovell

kettner’s hotel &amp; restaurant
tel: +44 (0) 20 7734 5650
29 romilly street
london soho
w1d 5al",True,False,其他
55147856751,Henry Ewan Golding Ω Candid Portraits Ltd,107026173@N05,51.512615,-0.13028,https://live.staticflickr.com/65535/55147856751_9ccba69737.jpg,henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian,"Photo Image © Patrick Lovell

Kettner’s Hotel &amp; Restaurant
Tel: +44 (0) 20 7734 5650
29 Romilly Street
London Soho
W1D 5AL","henry ewan golding ω candid portraits ltd henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian photo image © patrick lovell

kettner’s hotel &amp; restaurant
tel: +44 (0) 20 7734 5650
29 romilly street
london soho
w1d 5al",True,False,其他
55148086794,Henry Ewan Golding Ω Candid Portraits Ltd,107026173@N05,51.512615,-0.13028,https://live.staticflickr.com/65535/55148086794_3f5ac38051.jpg,henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian,"Photo Image © Patrick Lovell

Kettner’s Hotel &amp; Restaurant
Tel: +44 (0) 20 7734 5650
29 Romilly Street
London Soho
W1D 5AL","henry ewan golding ω candid portraits ltd henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian photo image © patrick lovell

kettner’s hotel &amp; restaurant
tel: +44 (0) 20 7734 5650
29 romilly street
london soho
w1d 5al",True,False,其他
55148015703,Henry Ewan Golding Ω Autograph Signings Ltd,107026173@N05,51.512615,-0.13028,https://live.staticflickr.com/65535/55148015703_b7492a18c7.jpg,henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian,"Photo Image © Patrick Lovell

Kettner’s Hotel &amp; Restaurant
Tel: +44 (0) 20 7734 5650
29 Romilly Street
London Soho
W1D 5AL","henry ewan golding ω autograph signings ltd henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian photo image © patrick lovell

kettner’s hotel &amp; restaurant
tel: +44 (0) 20 7734 5650
29 romilly street
london soho
w1d 5al",True,False,其他
55148015688,Henry Ewan Golding Ω Autograph Signings Ltd,107026173@N05,51.512615,-0.13028,https://live.staticflickr.com/65535/55148015688_275e2a18dc.jpg,henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian,"Photo Image © Patrick Lovell

Kettner’s Hotel &amp; Restaurant
Tel: +44 (0) 20 7734 5650
29 Romilly Street
London Soho
W1D 5AL","henry ewan golding ω autograph signings ltd henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian photo image © patrick lovell

kettner’s hotel &amp; restaurant
tel: +44 (0) 20 7734 5650
29 romilly street
london soho
w1d 5al",True,False,其他
55148086774,Henry Ewan Golding Ω Candid Portraits Ltd,107026173@N05,51.512615,-0.13028,https://live.staticflickr.com/65535/55148086774_713cc2a93b.jpg,henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian,"Photo Image © Patrick Lovell

Kettner’s Hotel &amp; Restaurant
Tel: +44 (0) 20 7734 5650
29 Romilly Street
London Soho
W1D 5AL","henry ewan golding ω candid portraits ltd henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian photo image © patrick lovell

kettner’s hotel &amp; restaurant
tel: +44 (0) 20 7734 5650
29 romilly street
london soho
w1d 5al",True,False,其他
55148233725,Henry Ewan Golding Ω Candid Portraits Ltd,107026173@N05,51.512615,-0.13028,https://live.staticflickr.com/65535/55148233725_ec21c19595.jpg,henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian,"Photo Image © Patrick Lovell

Kettner’s Hotel &amp; Restaurant
Tel: +44 (0) 20 7734 5650
29 Romilly Street
London Soho
W1D 5AL","henry ewan golding ω candid portraits ltd henrygolding britishactor henryewangolding tvactor crazyrichasians bafta2026 herringboneblazer snakeeyes netflixactor thegentlemen autographsigning meetingwithfans signingautographs britishmalaysian photo image © patrick lovell

kettner’s hotel &amp; restaurant
tel: +44 (0) 20 7734 5650
29 romilly street
london soho
w1d 5al",True,False,其他
