id,title,owner,lat,lon,url_m,tags,description,sentiment
55038743284,Gerrard Street`1984-2025,roll the dice,51.512328,-0.129915,https://live.staticflickr.com/65535/55038743284_7da34a1e7b.jpg,london westminster w1 soho gay chinatown oldandnew pastandpresent hereandnow eat community surreal culture chinese decorations people busy crowd fashion restaurants streetfurniture architecture pub publichouse beer boozer changes demolished collection vanished localhistory retro nostalgia bygone sad comparison shops shopping redlight canon tourism tourists urban classic art england uk bollards cars lanterns alfresco merc stout peepshow,"Who Remembers The Kings Head Pub?..The Dive Bar?..All Gone Now...The Chinese First Moved Into The Area In The Fifties,And It Just Got Bigger And Bigger And This Part Became Pedestrianised In The Late Eighties....",0.03194444444444445
55027579586,`3413,roll the dice,51.510144,-0.1347,https://live.staticflickr.com/65535/55027579586_30547aa080.jpg,westminster soho w1 christmas mad chinese gay chinatown people fashion smile eyes happy piccadilly streetphotography unaware unknown england classic art uk canon tourism tourists culture community surreal colour sad fun funny bored shops shopping eat love glass window angry wisdom natural cold portrait strangers candid santa busy crowded fur cap london advertising cute travel transport roundel traffic words star decorations tube underground lights urban,Chinese Nike`,0.0662878787878788
55027908060,`3412,roll the dice,51.511847,-0.132662,https://live.staticflickr.com/65535/55027908060_c3b2809791.jpg,london westminster soho w1 christmas mad chinese gay chinatown people fashion smile eyes happy piccadilly streetphotography lightsurban unaware unknown england classic art uk canon tourism tourists culture community surreal colour sad fun funny bored shops shopping eat love glass window angry wisdom natural cold portrait strangers candid santa busy crowded eatin rice couple table chairs urban reflection glasses reaction spoon bowl slurp menu,Chinatown Noodles...,0.04791666666666668
55015305368,London's Chinatown,Roy Llowarch (Thanx For 413 Million Total Views),51.511494,-0.131999,https://live.staticflickr.com/65535/55015305368_9c26fce584.jpg,chinatown chinatownlondon hongkongchinese chinese chineseculture chinesepeople chineserestaurants chinesefood chineseshops britishchinese london londonengland londonmarkets londonlandmarks londonsightseeing westminster cityofwestminster centrallondon shopping shops pubs bars restaurants people color colour colorful colourful lovelondon cities city streets chineselanterns walks walking tourism tourists ldn londontourism englishtourism england english englishheritage englishhistory british britishhistory britishheritage europe european royllowarch llowarch canon canonphotos canonphotography summertime clouds sunshine travel travelling holidays vacations vibrant worldtravel sunny chinesehistory chineseheritage explorelondon exploringlondon europeantravel chinesegates chinesearch chinesearches picturesque soholondon outdoors,London's Chinatown is a small but very colourful and vibrant area north of Leicester Square. I love walking around the area and have my favourite Chinese restaurant. When I was spending a lot of weekends in central London I would also get my hair cut by a Chinese barber. The area is well worth visiting. I took this photo with my Canon camera.   ,0.09880952380952382
55001535198,`3411,roll the dice,51.511099,-0.133606,https://live.staticflickr.com/65535/55001535198_061bac8bff.jpg,london westminster w1 chinatown soho gay chinese eat restaurant glass window reflection point couple arrow red mad sad fun funny smile happy reaction fashion angry pretty eatin streetphotography urban unknown unaware classic art uk england canon tourisn tourists cold rice portrait strangers traffic busy crowded shops shopping wisdom natural asian culture surreal colour tray hohoho santa christmas lights,                   Pee King Duck!            ,0.03354166666666667
54984839354,`3409,roll the dice,51.511039,-0.132812,https://live.staticflickr.com/65535/54984839354_03ae8ccea1.jpg,art candid canon classic colour england fashion funny london mad natural people portrait sad shopping streetphotography surreal tourism tourists uk unaware unknown urban westminster pretty sexy girls chinese asian eyes fun smile culture crowd busy stripes mobilephone autumn bored lost angry reaction,Wings Stop....,0.03114035087719299
54949068190,Charing Cross Road`1980-2025,roll the dice,51.512942,-0.128874,https://live.staticflickr.com/65535/54949068190_27e4f28677.jpg,london westminster wc2 westend leicestersquare traffic chapel travel transport changes collection vanished demolished eighties sad flats windows lights trees cctv cars oldandnew pastandpresent hereandnow community culture surreal soho chinatown gay localhistory retro bygone shops shopping fashion comparison nostalgia empty busy crowded urban tourism asian tourists classic art england uk canon cafe bus bland taxi bollards obstuction danger roundel victorian streetfurniture architecture chimney,"Sandringham Buildings Once On Both Sides Of The Road,,,,Demolished Shortly After...Built In 1884 By The IImproved Industrial Dwellings Company...Once A Wimpy Along Here And Latter Years Chinese Restaurant Man Po..And The Gay Pub CXR.... ",0.04166666666666667
54856037311,London's Chinatown,Roy Llowarch (Thanx For 413 Million Total Views),51.510963,-0.131723,https://live.staticflickr.com/65535/54856037311_2779c41ced.jpg,chinatown chinatownlondon hongkongchinese chinese chineseculture chinesepeople chineserestaurants chinesefood chineseshops britishchinese london londonengland londonmarkets londonlandmarks londonsightseeing westminster cityofwestminster centrallondon shopping shops pubs bars restaurants people color colour colorful colourful lovelondon cities city streets chineselanterns walks walking tourism tourists ldn londontourism englishtourism england english englishheritage englishhistory british britishhistory britishheritage europe european royllowarch llowarch summertime clouds travel travelling holidays vacations vibrant worldtravel chinesehistory chineseheritage explorelondon exploringlondon europeantravel chinesegates chinesearch chinesearches picturesque soholondon outdoors samsungphotos samsungphotography phonephotography overcast beautifulphotos,"I am fascinated by these amazingly colourful Chinese Arches  
London's Chinatown is a small but very colourful and vibrant area north of Leicester Square. I love walking around the area and have my favourite Chinese restaurant. When I was spending a lot of weekends in central London I would also get my hair cut by a Chinese barber. The area is well worth visiting. I took this photo with my Samsung phone camera ",0.12395833333333335
54855431379,Chinatown London,Roy Llowarch (Thanx For 413 Million Total Views),51.511108,-0.131906,https://live.staticflickr.com/65535/54855431379_9aef0acdb1.jpg,chinatown chinatownlondon hongkongchinese chinese chineseculture chinesepeople chineserestaurants chinesefood chineseshops britishchinese london londonengland londonmarkets londonlandmarks londonsightseeing westminster cityofwestminster centrallondon shopping shops pubs bars restaurants people color colour colorful colourful lovelondon cities city streets chineselanterns tourism ldn londontourism englishtourism england english englishheritage englishhistory british britishhistory britishheritage europe european royllowarch summertime clouds sunshine travel travelling holidays vacations vibrant worldtravel sunny chinesehistory chineseheritage explorelondon exploringlondon europeantravel chinesegates chinesearch chinesearches picturesque soholondon outdoors canonphotos canonphotography art beautiful beautifulphotos beautifulplaces artisticphotos,"A gateway to Chinatown 
London's Chinatown is a small but very colourful and vibrant area north of Leicester Square. I love walking around the area and have my favourite Chinese restaurant. When I was spending a lot of weekends in central London I would also get my hair cut by a Chinese barber. The area is well worth visiting. I took this photo with my Canon DSLR camera ",0.1488888888888889
54851483384,Chinatown London,Roy Llowarch (Thanx For 413 Million Total Views),51.510775,-0.131548,https://live.staticflickr.com/65535/54851483384_824610d734.jpg,chinatown chinatownlondon hongkongchinese chinese chineseculture chinesepeople chineserestaurants chinesefood chineseshops britishchinese london londonengland londonmarkets londonlandmarks londonsightseeing westminster cityofwestminster centrallondon shopping shops pubs bars restaurants people color colour colorful colourful lovelondon cities city streets chineselanterns walks walking tourism tourists ldn londontourism englishtourism england english englishheritage englishhistory british britishhistory britishheritage europe european royllowarch llowarch summertime clouds sunshine travel travelling holidays vacations vibrant worldtravel sunny chinesehistory chineseheritage explorelondon exploringlondon europeantravel chinesegates chinesearch chinesearches picturesque soholondon outdoors samsungphotos samsungphotography phonephotography,"An early morning walk around Chinatown. 
London's Chinatown is a small but very colourful and vibrant area north of Leicester Square. I love walking around the area and have my favourite Chinese restaurant. When I was spending a lot of weekends in central London I would also get my hair cut by a Chinese barber. The area is well worth visiting. I took this photo with my Samsung phone camera ",0.09888888888888887
